date,opponent,venue,goals_for,goals_against,xg,xga,shots_for,shots_against,competition,manager,notes
2020-09-19,Crystal Palace,H,1,3,1.6,1.5,17,14,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-09-26,Brighton,A,3,2,2.7,1.3,18,13,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-10-04,Tottenham,H,1,6,0.9,3.2,7,22,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-10-17,Newcastle,A,4,1,1.9,0.8,13,10,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-10-24,Chelsea,H,0,0,0.7,0.8,14,8,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-11-01,Arsenal,H,0,1,1.0,1.1,9,11,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-11-07,Everton,A,3,1,1.8,0.9,12,7,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-11-21,West Brom,H,1,0,1.9,0.4,18,6,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-11-29,Southampton,A,3,2,2.4,1.6,15,12,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-12-05,West Ham,A,3,1,1.7,1.1,16,12,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-12-12,Manchester City,H,0,0,0.5,0.6,11,9,Premier League,Ole Gunnar Solskjaer,Sample baseline data
2020-12-17,Sheffield United,A,3,2,2.2,1.0,16,9,Premier League,Ole Gunnar Solskjaer,Sample baseline data

